0.000	-4.935	1.935
0.050	-2.663	1.885
0.100	-1.618	1.834
0.150	-0.773	1.784
0.200	-0.034	1.732
0.250	0.635	1.679
0.300	1.253	1.625
0.350	1.829	1.570
0.400	2.369	1.512
0.450	2.877	1.452
0.500	3.356	1.388
0.550	3.806	1.322
0.600	4.228	1.251
0.650	4.622	1.175
0.700	4.987	1.093
0.750	5.320	1.003
0.800	5.618	0.905
0.850	5.876	0.796
0.900	6.080	0.675
0.950	6.199	0.536
1.000	5.890	0.377
